Dataset name,Classifier name,Strategy,f1_score,std,class_of_z,radius,amount in radius
Wine,dt,lime,0.45,0.41,0.93,0.4,5.1
Wine,dt,lime,0.42,0.35,0.89,0.45,7.64
Wine,dt,lime,0.4,0.31,0.87,0.5,11.07
Wine,dt,lime,0.38,0.28,0.85,0.55,14.71
Wine,dt,lime,0.37,0.22,0.81,0.6,19.08
Wine,dt,lime,0.35,0.18,0.77,0.65,24.21
Wine,dt,lime,0.35,0.13,0.72,0.7,29.6
Wine,dt,lime,0.34,0.08,0.67,0.75,35.61
Wine,dt,lime,0.33,0.05,0.63,0.8,40.93
Wine,dt,lime,0.33,0.03,0.6,0.85,45.67
Wine,dt,lime,0.33,0.02,0.57,0.9,49.41
Wine,dt,lime,0.33,0.01,0.56,0.95,51.73
Wine,dt,lime,0.33,0.0,0.55,1.0,54.0
Wine,dt,lime,0.31,0.15,0.45,-1,14.06
Wine,nb_g,Leafage: closest enemy,0.95,0.22,1.0,0.05,1.0
Wine,nb_g,Leafage: closest enemy,0.95,0.22,1.0,0.1,1.0
Wine,nb_g,Leafage: closest enemy,0.95,0.22,1.0,0.15,1.0
Wine,nb_g,Leafage: closest enemy,0.95,0.22,1.0,0.2,1.09
Wine,nb_g,Leafage: closest enemy,0.95,0.21,1.0,0.25,1.34
Wine,nb_g,Leafage: closest enemy,0.95,0.22,1.0,0.3,1.98
Wine,nb_g,Leafage: closest enemy,0.94,0.21,0.99,0.35,3.1
Wine,nb_g,Leafage: closest enemy,0.93,0.21,0.98,0.4,5.1
Wine,nb_g,Leafage: closest enemy,0.92,0.2,0.95,0.45,7.64
Wine,nb_g,Leafage: closest enemy,0.88,0.19,0.93,0.5,11.07
Wine,nb_g,Leafage: closest enemy,0.86,0.2,0.9,0.55,14.71
Wine,nb_g,Leafage: closest enemy,0.86,0.17,0.85,0.6,19.08
Wine,nb_g,Leafage: closest enemy,0.87,0.14,0.79,0.65,24.21
Wine,nb_g,Leafage: closest enemy,0.91,0.09,0.73,0.7,29.6
Wine,nb_g,Leafage: closest enemy,0.93,0.05,0.68,0.75,35.61
Wine,nb_g,Leafage: closest enemy,0.93,0.03,0.64,0.8,40.93
Wine,nb_g,Leafage: closest enemy,0.93,0.03,0.61,0.85,45.67
Wine,nb_g,Leafage: closest enemy,0.93,0.03,0.58,0.9,49.41
Wine,nb_g,Leafage: closest enemy,0.93,0.03,0.57,0.95,51.73
Wine,nb_g,Leafage: closest enemy,0.92,0.03,0.56,1.0,54.0
Wine,nb_g,Leafage: closest enemy,0.83,0.18,0.46,-1,17.98
Wine,nb_g,Leafage: closest boundary,0.95,0.22,1.0,0.05,1.0
Wine,nb_g,Leafage: closest boundary,0.95,0.22,1.0,0.1,1.0
Wine,nb_g,Leafage: closest boundary,0.95,0.22,1.0,0.15,1.0
Wine,nb_g,Leafage: closest boundary,0.95,0.22,1.0,0.2,1.09
Wine,nb_g,Leafage: closest boundary,0.95,0.21,1.0,0.25,1.34
Wine,nb_g,Leafage: closest boundary,0.95,0.21,1.0,0.3,1.98
Wine,nb_g,Leafage: closest boundary,0.94,0.21,0.99,0.35,3.1
Wine,nb_g,Leafage: closest boundary,0.92,0.22,0.98,0.4,5.1
Wine,nb_g,Leafage: closest boundary,0.91,0.21,0.95,0.45,7.64
Wine,nb_g,Leafage: closest boundary,0.88,0.2,0.93,0.5,11.07
Wine,nb_g,Leafage: closest boundary,0.85,0.2,0.9,0.55,14.71
Wine,nb_g,Leafage: closest boundary,0.86,0.17,0.85,0.6,19.08
Wine,nb_g,Leafage: closest boundary,0.87,0.14,0.79,0.65,24.21
Wine,nb_g,Leafage: closest boundary,0.9,0.08,0.73,0.7,29.6
Wine,nb_g,Leafage: closest boundary,0.93,0.05,0.68,0.75,35.61
Wine,nb_g,Leafage: closest boundary,0.94,0.03,0.64,0.8,40.93
Wine,nb_g,Leafage: closest boundary,0.94,0.02,0.61,0.85,45.67
Wine,nb_g,Leafage: closest boundary,0.94,0.02,0.58,0.9,49.41
Wine,nb_g,Leafage: closest boundary,0.94,0.02,0.57,0.95,51.73
Wine,nb_g,Leafage: closest boundary,0.94,0.02,0.56,1.0,54.0
Wine,nb_g,Leafage: closest boundary,0.81,0.19,0.46,-1,17.98
Wine,nb_g,lime,0.53,0.47,1.0,0.05,1.0
Wine,nb_g,lime,0.53,0.47,1.0,0.1,1.0
Wine,nb_g,lime,0.53,0.47,1.0,0.15,1.0
Wine,nb_g,lime,0.53,0.47,1.0,0.2,1.09
Wine,nb_g,lime,0.53,0.47,1.0,0.25,1.34
Wine,nb_g,lime,0.53,0.46,1.0,0.3,1.98
Wine,nb_g,lime,0.52,0.46,0.99,0.35,3.1
Wine,nb_g,lime,0.52,0.45,0.98,0.4,5.1
Wine,nb_g,lime,0.51,0.42,0.95,0.45,7.64
Wine,nb_g,lime,0.48,0.39,0.93,0.5,11.07
Wine,nb_g,lime,0.44,0.34,0.9,0.55,14.71
Wine,nb_g,lime,0.38,0.25,0.85,0.6,19.08
Wine,nb_g,lime,0.37,0.2,0.79,0.65,24.21
Wine,nb_g,lime,0.35,0.13,0.73,0.7,29.6
Wine,nb_g,lime,0.34,0.08,0.68,0.75,35.61
Wine,nb_g,lime,0.34,0.05,0.64,0.8,40.93
Wine,nb_g,lime,0.34,0.03,0.61,0.85,45.67
Wine,nb_g,lime,0.34,0.02,0.58,0.9,49.41
Wine,nb_g,lime,0.34,0.01,0.57,0.95,51.73
Wine,nb_g,lime,0.34,0.0,0.56,1.0,54.0
Wine,nb_g,lime,0.32,0.16,0.46,-1,17.98
